"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 20 19:43:46 BDT 2023","Fri Oct 20 19:43:57 BDT 2023","10491","All Test Suite","D:/SQA/Tests/nopCommerce_Automation/src/test/java/testcases","testcases.TestProductPage","testcases.TestProductPage","testRemoveTCartItemButton","testRemoveTCartItemButton",""
"passed","Fri Oct 20 19:43:44 BDT 2023","Fri Oct 20 19:43:44 BDT 2023","858","All Test Suite","D:/SQA/Tests/nopCommerce_Automation/src/test/java/testcases","testcases.DemoLoginTest","testcases.DemoLoginTest","testLoginWithoutInvalidCredentials","testLoginWithoutInvalidCredentials",""
"passed","Fri Oct 20 19:43:37 BDT 2023","Fri Oct 20 19:43:38 BDT 2023","1311","All Test Suite","D:/SQA/Tests/nopCommerce_Automation/src/test/java/testcases","testcases.DemoLoginTest","testcases.DemoLoginTest","testLoginWithValidCredentials","testLoginWithValidCredentials",""
"passed","Fri Oct 20 19:43:40 BDT 2023","Fri Oct 20 19:43:41 BDT 2023","845","All Test Suite","D:/SQA/Tests/nopCommerce_Automation/src/test/java/testcases","testcases.DemoLoginTest","testcases.DemoLoginTest","testLoginWithoutUsername","testLoginWithoutUsername",""
"passed","Fri Oct 20 19:43:41 BDT 2023","Fri Oct 20 19:43:42 BDT 2023","821","All Test Suite","D:/SQA/Tests/nopCommerce_Automation/src/test/java/testcases","testcases.DemoLoginTest","testcases.DemoLoginTest","testLoginWithoutInvalidCredentials","testLoginWithoutInvalidCredentials",""
"passed","Fri Oct 20 19:43:45 BDT 2023","Fri Oct 20 19:43:46 BDT 2023","485","All Test Suite","D:/SQA/Tests/nopCommerce_Automation/src/test/java/testcases","testcases.TestProductPage","testcases.TestProductPage","testAddTCartButton","Test product page Add to cart button",""
"passed","Fri Oct 20 19:43:42 BDT 2023","Fri Oct 20 19:43:43 BDT 2023","815","All Test Suite","D:/SQA/Tests/nopCommerce_Automation/src/test/java/testcases","testcases.DemoLoginTest","testcases.DemoLoginTest","testLoginWithoutInvalidCredentials","testLoginWithoutInvalidCredentials",""
"passed","Fri Oct 20 19:43:39 BDT 2023","Fri Oct 20 19:43:40 BDT 2023","834","All Test Suite","D:/SQA/Tests/nopCommerce_Automation/src/test/java/testcases","testcases.DemoLoginTest","testcases.DemoLoginTest","testLoginWithoutCred","testLoginWithoutCred",""
"passed","Fri Oct 20 19:43:38 BDT 2023","Fri Oct 20 19:43:39 BDT 2023","696","All Test Suite","D:/SQA/Tests/nopCommerce_Automation/src/test/java/testcases","testcases.DemoLoginTest","testcases.DemoLoginTest","testLoginWithoutPassword","testLoginWithoutPassword",""
"passed","Fri Oct 20 19:43:43 BDT 2023","Fri Oct 20 19:43:43 BDT 2023","862","All Test Suite","D:/SQA/Tests/nopCommerce_Automation/src/test/java/testcases","testcases.DemoLoginTest","testcases.DemoLoginTest","testLoginWithoutInvalidCredentials","testLoginWithoutInvalidCredentials",""
